"Tytul","Cena","Metraz","Dzielnica","Cena_m2"
"Mydniki, Balicka 2-pok. 51 m2 2004 r. atrakcyjne 6...",660000,51.0,Bronowice,12941.18
Kraków - Podgórze Duchackie 51.10 m2 + balkon 689 ...,689000,51.1,Podgórze Duchackie,13483.37
"Mieszkanie 28,39 m² | Ruczaj | Gotowe do wejścia 5...",530000,28.39,Dębniki,18668.55
"Mieszkanie / kawalerka na sprzedaż Kraków, Kliny 4...",425000,25.5,Kliny,16666.67
"3-pok. w Prokocimiu  na sprzedaż! 680 000 zł do ne...",680000,63.0,Bieżanów,10793.65
Sprzedam mieszkanie o pow. 53m2 w Krakowie na Kurd...,699000,53.0,Podgórze Duchackie,13188.68
BEZPOŚREDNIO -  2 pok -Kamienica stan deweloperski...,598000,31.03,Dębniki,19271.67
"Mieszkanie 2 pokoje 43,99 m2, stan deweloperski, 1...",695042,43.99,Prądnik Czerwony,15800.0
Mieszkanie 123 + 2 miejsca postojowe w cenie + ogr...,989000,123.15,Nowa Huta,8030.86
Wyjątkowy czteropokojowy apartament z tarasem! opc...,1409000,73.71,Podgórze,19115.45
"2 pokojowe| 37m2| do remontu| os. Kazimierzowskie ...",437000,37.0,Nowa Huta,11810.81
Dwupokojowe mieszkanie z balkonem w Nowej Hucie 57...,575000,50.0,Nowa Huta,11500.0
Trzypokojowe mieszkanie – świeżo odświeżone 596 00...,596000,54.36,Bieńczyce,10963.94
"2 pokoje 49 m2 + 2 balkony 23m2 + garaż Bronowice ...",745000,49.0,Bronowice,15204.08
Sprzedaż – Kraków – Grzegórzki – ul. Bobrowskiego ...,449000,30.0,Grzegórzki,14966.67
BEZPOŚREDNIO -  2 pok -Kamienica stan deweloperski...,598000,31.03,Dębniki,19271.67
"Przestronne, jasne mieszkanie z tarasem 50m2 830 0...",830000,50.0,Czyżyny,56600.0
"Oddzielna kuchnia, 2 balkony (o pow. 24,56m2), 2 m...",949000,24.56,Bronowice,38640.07
"3-Pokojowe Mieszkanie 50M^2 (Bezpośrednio) 699 999...",699999,50.0,Nowa Huta,13999.98
Mieszkanie z ogródkiem i łatwym parkingiem 396 000...,396000,30.0,Prądnik Biały,13200.0
Mieszkanie 34 m2 Grzegórzki Park Francesco Nullo 8...,849000,34.0,Grzegórzki,24970.59
"3 pokoje | 52,7 m² | do remontu | Prądnik Czerwony...",605000,52.7,Prądnik Czerwony,11480.08
"3 pok + kuchnia | WYŻEJ SIĘ JUŻ NIE DA | balkon 69...",699000,59.5,Krowodrza,11747.9
Sprzedam partycypację w systemie TBS Kraków Kurdwa...,204900,44.8,Podgórze Duchackie,4573.66
Kawalerka z osobną kuchnią w świetnej lokalizacji ...,449000,25.0,Bronowice,17960.0
"4 pokoje, 93 m2, Borek Fałęcki, DUŻY TARAS, (garaż...",1299000,93.0,Łagiewniki,13967.74
"Nowe 2 pok 43,4 m² z ogródkiem 55 m² Brak PCC Bez ...",790000,43.4,Prądnik Biały,18202.76
